"18","Plagioclase","18"
"19","Spodumain","19"
"20","Kernite","20"
"21","Hedbergite","21"
"22","Arkonor","22"
"34","Tritanium","34"
"35","Pyerite","35"
"36","Mexallon","36"
"37","Isogen","37"
"38","Nocxium","38"
"39","Zydrine","39"
"40","Megacyte","40"
"41","Garbage","41"
"42","Spiced Wine","42"
"43","Antibiotics","43"
"44","Enriched Uranium","44"
"45","Frozen Plant Seeds","45"
"178","Carbonized Lead S","178"
"179","Nuclear S","179"
"180","Proton S","180"
"181","Depleted Uranium S","181"
"182","Titanium Sabot S","182"
"183","Fusion S","183"
"184","Phased Plasma S","184"
"185","EMP S","185"
"186","Carbonized Lead M","186"
"187","Nuclear M","187"
"188","Proton M","188"
"189","Depleted Uranium M","189"
"190","Titanium Sabot M","190"
"191","Fusion M","191"
"192","Phased Plasma M","192"
"193","EMP M","193"
"194","Carbonized Lead L","194"
"195","Nuclear L","195"
"196","Proton L","196"
"197","Depleted Uranium L","197"
"198","Titanium Sabot L","198"
"199","Fusion L","199"
"200","Phased Plasma L","200"
"201","EMP L","201"
"202","Mjolnir Cruise Missile","202"
"203","Scourge Cruise Missile","203"
"204","Inferno Cruise Missile","204"
"205","Nova Cruise Missile","205"
"206","Nova Heavy Missile","206"
"207","Mjolnir Heavy Missile","207"
"208","Inferno Heavy Missile","208"
"209","Scourge Heavy Missile","209"
"210","Scourge Light Missile","210"
"211","Inferno Light Missile","211"
"212","Mjolnir Light Missile","212"
"213","Nova Light Missile","213"
"215","Iron Charge S","215"
"216","Tungsten Charge S","216"
"217","Iridium Charge S","217"
"218","Lead Charge S","218"
"219","Thorium Charge S","219"
"220","Uranium Charge S","220"
"221","Plutonium Charge S","221"
"222","Antimatter Charge S","222"
"223","Iron Charge M","223"
"224","Tungsten Charge M","224"
"225","Iridium Charge M","225"
"226","Lead Charge M","226"
"227","Thorium Charge M","227"
"228","Uranium Charge M","228"
"229","Plutonium Charge M","229"
"230","Antimatter Charge M","230"
"231","Iron Charge L","231"
"232","Tungsten Charge L","232"
"233","Iridium Charge L","233"
"234","Lead Charge L","234"
"235","Thorium Charge L","235"
"236","Uranium Charge L","236"
"237","Plutonium Charge L","237"
"238","Antimatter Charge L","238"
"239","Radio S","239"
"240","Microwave S","240"
"241","Infrared S","241"
"242","Standard S","242"
"243","Ultraviolet S","243"
"244","Xray S","244"
"245","Gamma S","245"
"246","Multifrequency S","246"
"247","Radio M","247"
"248","Microwave M","248"
"249","Infrared M","249"
"250","Standard M","250"
"251","Ultraviolet M","251"
"252","Xray M","252"
"253","Gamma M","253"
"254","Multifrequency M","254"
"255","Radio L","255"
"256","Microwave L","256"
"257","Infrared L","257"
"258","Standard L","258"
